,real,forecast56,forecast84,forecast1092,forecast1456,forecast_averaged
2018-12-27 00:00:00,47.41,39.653290145479865,37.41937447270568,51.291967033168575,51.65554466916329,45.00504408012935
2018-12-27 01:00:00,47.1,30.774395174306488,36.249005609564,45.39207547703529,46.48132416280614,39.72420010592798
2018-12-27 02:00:00,46.74,34.47401998643773,35.59561261040103,42.65181167115683,44.90671027087083,39.407038634716606
2018-12-27 03:00:00,45.03,30.963329291153286,35.37013661505274,41.3284512970661,42.605535710932706,37.56686322855121
2018-12-27 04:00:00,46.02,31.428823165912828,35.300009006922764,43.055005747528256,42.76050776164229,38.136086420501535
2018-12-27 05:00:00,49.18,37.47808196064349,38.126362982043744,46.05219597060622,45.0195961835996,41.669059274223265
2018-12-27 06:00:00,51.03,45.47497713271703,45.57777518786664,56.04559969729458,56.888144393054844,50.99662410273328
2018-12-27 07:00:00,58.89,57.3007855904868,58.87163497328761,67.77684081974519,68.38496669709886,63.083557020154615
2018-12-27 08:00:00,64.96,60.939514518099976,62.63576251377344,73.08195322289197,72.52514043829737,67.29559267326569
2018-12-27 09:00:00,64.61,63.298657009242774,60.28732579082282,75.99948377691419,75.41168146443516,68.74928701035374
2018-12-27 10:00:00,59.01,60.8029992190171,60.81686824463934,71.19720755292498,70.57299664196006,65.84751791463538
2018-12-27 11:00:00,58.45,61.863322497093385,60.689977255692675,70.67345517015039,70.78576477219286,66.00312992378232
2018-12-27 12:00:00,66.14,58.874255690542896,58.283645621373914,68.20780125213133,68.25271743092316,63.404604998742826
2018-12-27 13:00:00,65.0,58.75547877864372,56.201657123440846,70.14252219113901,70.35024836435568,63.862476614394815
2018-12-27 14:00:00,65.51,55.75076140634122,57.78002221653042,73.2230012623147,72.89275182154677,64.91163417668328
2018-12-27 15:00:00,68.11,57.396916205252104,61.43631714039928,76.61591991247954,75.97815873405423,67.8568279980463
2018-12-27 16:00:00,69.22,67.66280591421322,65.15771720463755,73.2621712861342,73.04843793378717,69.78278308469304
2018-12-27 17:00:00,70.74,74.70698304134794,73.1608808414656,79.04624944880473,80.31482695167377,76.80723507082301
